Id,IdBuilding,GroupAddress,DataPoint,ValueType,Description
1,1,2/0/0,9,ppm,C1/0/M101 CO2
2,1,2/0/1,9,ppm,C1/0/M102 CO2
3,1,2/1/0,9,ppm,C1/0/U101 C02
4,1,2/1/1,9,ppm,C1/0/U105 C02
5,1,2/0/4,9,C°,C1/0/M101 TEMP
6,1,2/0/5,9,C°,C1/0/M102 TEMP
7,1,2/1/9,9,C°,C1/0/U101 Temperatura
8,1,2/1/10,9,C°,C1/0/U105 Temperatura
9,1,2/0/2,5.001,%,C1/0/M101 Umidità
10,1,2/0/3,5.001,%,C1/0/M102 Umidità
11,1,2/1/7,5.001,%,C1/0/U101 Umidità
12,1,2/1/8,5.001,%,C1/0/U105 Umidità
13,1,2/2/0,14,W,Produzione totale fotovoltaico
22,5,2/1/0,9,ppm,C3/0/U301 CO2
23,5,2/1/3,9,ppm,C3/0/U306 CO2 
24,5,2/1/1,5.001,%,C3/0/U301 Rel. humidity
26,5,2/1/4,5.001,%,C3/0/U306 Rel. humidity
27,5,2/1/2,9,C°,C3/0/U301 Temperature
28,5,2/1/5,9,C°,C3/0/U306 Temperature
29,5,2/2/1,14,W,Produzione totale Fotovoltaico Palestra
30,5,2/2/40,14,W,Produzione totale Fotovoltaico Uffici
33,5,2/2/0,29.010,Wh,Consumo Palestra
35,1,0/1/130,1,bool,C1/0/R101 Luci ON/OFF
36,1,0/1/131,1,bool,C1/0/R102 Luci ON/OFF
37,1,3/4/2,1,bool,C1/0/M102 Presenza
38,1,2/2/12,14,W,Daikin Active Power Total
39,1,2/2/24,14,W,Consumo enel di E1 + Villa
40,5,2/2/13,14,W,Daikin Active Power Total  Palestra
50,6,4/5/4,13.010,Wh,Energia Attiva P2 -Consumo intero piano
51,6,4/3/17,13.010,Wh,Energia Attiva P1 -Consumo intero piano
52,6,4/1/19,13.010,Wh,Energia Attiva PT -Consumo intero piano
53,5,2/2/25,14,W,Consumo Active Power Total  Palestra
54,5,2/2/52,14,W,Daikin Active Power Total Uffici
55,5,2/2/64,14,W,Consumo Active Power Total  Uffici
56,5,2/2/38,29.010,Wh,Daikin Active Energy Palestra
57,5,2/2/37,29.010,Wh,Active Energy Fotovoltaico Palestra
58,5,2/2/39,29.010,Wh,Consumo Uffici
59,5,2/2/77,29.010,Wh,Daikin Active Energy Uffici
60,5,2/2/76,29.010,Wh,Active Energy Fotovoltaico Uffici
61,1,3/4/5,1,bool,C1/0/M101 Presenza
62,1,3/4/3,1,bool,C1/0/R101 Presenza
63,1,3/4/4,1,bool,C1/0/R102 Presenza
64,5,3/4/3,1,bool,C3/0/R301 Presenza
65,5,3/4/4,1,bool,C3/0/R302 Presenza
66,5,3/4/5,1,bool,C3/0/R303 Presenza
67,1,2/2/38,29.010,Wh,Energia Attiva E1 -Consumo Edificio + Villa
68,1,2/2/36,29.010,Wh,Active Energy Fotovoltaico E1
69,1,2/2/37,29.010,Wh,Daikin Active Energy E1
70,1,2/2/100,29.010,Wh,Produzione Inverter E1
71,5,2/2/150,29.010,Wh,Produzione Inverter E3 Palestra
72,5,2/2/151,29.010,Wh,Produzione Inverter E3 Uffici
73,6,2/5/44,9,C°,CED Temp Interna 1
74,6,2/5/45,9,C°,CED Temp Esterna
75,6,2/5/46,9,C°,CED Temp Interna 2
